Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,183,1,1987-11-07,CHI,,PHI,W 104-94,*,38:00,15,25,.600,0,0,,15,25,.600,.600,6,10,.600,2,3,5,3,6,4,2,3,36,32.9
2,184,2,1987-11-10,CHI,@,ATL,W 105-95,*,42:00,11,23,.478,1,3,.333,10,20,.500,.500,6,9,.667,0,6,6,7,1,1,3,3,29,20.3
3,185,3,1987-11-11,CHI,@,NJN,W 105-96,*,40:00,10,20,.500,0,1,.000,10,19,.526,.500,11,13,.846,1,2,3,4,2,0,5,4,31,19.7
4,186,4,1987-11-13,CHI,,NJN,W 103-85,*,35:00,10,19,.526,0,0,,10,19,.526,.526,16,17,.941,3,4,7,5,6,1,3,1,36,36.4
5,187,5,1987-11-14,CHI,,IND,L 110-111,*,40:00,14,29,.483,0,0,,14,29,.483,.483,9,11,.818,3,2,5,5,4,1,3,3,37,28.2
6,188,6,1987-11-17,CHI,,WSB,W 105-101,*,36:00,10,18,.556,0,0,,10,18,.556,.556,6,6,1.000,0,3,3,7,2,1,3,3,26,21.7
7,189,7,1987-11-18,CHI,@,WSB,W 84-82,*,40:00,9,21,.429,0,1,.000,9,20,.450,.429,12,12,1.000,1,2,3,8,3,1,2,3,30,26.3
8,190,8,1987-11-20,CHI,,ATL,W 94-92,*,40:00,10,22,.455,0,0,,10,22,.455,.455,13,14,.929,0,7,7,7,4,4,2,3,33,31.8
9,191,9,1987-11-21,CHI,,DET,L 132-144 (OT),*,44:00,17,38,.447,0,2,.000,17,36,.472,.447,15,17,.882,2,4,6,8,6,1,4,6,49,36.9
10,192,10,1987-11-23,CHI,@,BOS,W 107-102,*,41:00,12,26,.462,0,0,,12,26,.462,.462,7,10,.700,4,6,10,3,4,0,5,5,31,20.1
11,193,11,1987-11-25,CHI,@,MIL,W 103-101,*,39:00,13,24,.542,0,1,.000,13,23,.565,.542,7,8,.875,1,2,3,6,3,0,1,5,33,26.5
12,194,12,1987-11-27,CHI,@,DAL,L 93-94,*,45:00,8,20,.400,0,1,.000,8,19,.421,.400,9,9,1.000,1,5,6,9,3,1,3,2,25,22.6
13,195,13,1987-11-28,CHI,@,HOU,W 98-86,*,41:00,12,22,.545,0,1,.000,12,21,.571,.545,10,10,1.000,3,4,7,6,4,2,7,4,34,27.7
14,196,14,1987-12-01,CHI,@,GSW,W 98-97,*,40:00,6,15,.400,0,0,,6,15,.400,.400,4,6,.667,0,6,6,9,3,1,3,2,16,15.1
15,197,15,1987-12-02,CHI,@,UTA,W 105-101,*,39:00,17,27,.630,0,0,,17,27,.630,.630,13,16,.813,2,2,4,9,3,3,2,4,47,43.5
16,198,16,1987-12-04,CHI,@,DEN,L 89-105,*,35:00,9,15,.600,1,1,1.000,8,14,.571,.633,4,5,.800,1,3,4,5,4,0,4,4,23,19.2
17,199,17,1987-12-05,CHI,@,SAS,L 101-110,*,40:00,15,22,.682,0,2,.000,15,20,.750,.682,10,12,.833,1,1,2,8,1,0,6,3,40,30.2
18,200,18,1987-12-08,CHI,,PHI,L 96-109,*,42:00,14,26,.538,0,1,.000,14,25,.560,.538,5,6,.833,1,4,5,10,3,3,7,4,33,25.4
19,201,19,1987-12-10,CHI,,MIL,W 111-105,*,40:00,11,18,.611,0,0,,11,18,.611,.611,10,11,.909,1,6,7,4,3,1,3,2,32,28.6
20,202,20,1987-12-12,CHI,,HOU,W 112-103,*,40:00,16,28,.571,0,0,,16,28,.571,.571,12,12,1.000,0,3,3,9,5,5,3,3,44,42.3
21,203,21,1987-12-15,CHI,@,DET,L 123-127 (OT),*,50:00,12,26,.462,1,2,.500,11,24,.458,.481,13,16,.813,3,5,8,12,3,1,2,6,38,34.7
22,204,22,1987-12-17,CHI,,CLE,W 111-100,*,41:00,20,31,.645,0,0,,20,31,.645,.645,12,12,1.000,0,3,3,6,4,1,2,2,52,45.3
23,205,23,1987-12-19,CHI,@,WSB,L 96-109,*,43:00,12,23,.522,0,0,,12,23,.522,.522,6,8,.750,0,2,2,7,3,2,2,3,30,24.6
