Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,21,1,1989-04-28,CHI,@,CLE,W 95-88,*,40:00,12,21,.571,0,1,.000,12,20,.600,.571,7,8,.875,0,5,5,11,4,1,6,5,31,26.6
2,22,2,1989-04-30,CHI,@,CLE,L 88-96,*,44:00,10,22,.455,0,1,.000,10,21,.476,.455,10,10,1.000,3,2,5,10,2,0,7,2,30,22.5
3,23,3,1989-05-03,CHI,,CLE,W 101-94,*,39:00,18,34,.529,1,1,1.000,17,33,.515,.544,7,9,.778,2,5,7,10,5,1,5,4,44,35.6
4,24,4,1989-05-05,CHI,,CLE,L 105-108 (OT),*,43:00,14,28,.500,0,1,.000,14,27,.519,.500,22,27,.815,0,3,3,4,3,0,1,6,50,37.3
5,25,5,1989-05-07,CHI,@,CLE,W 101-100,*,44:00,17,32,.531,1,1,1.000,16,31,.516,.547,9,13,.692,3,6,9,6,1,0,2,3,44,32.7
6,26,6,1989-05-09,CHI,@,NYK,W 120-109 (OT),*,46:00,11,17,.647,1,2,.500,10,15,.667,.676,11,11,1.000,2,8,10,12,2,0,6,5,34,32.7
7,27,7,1989-05-11,CHI,@,NYK,L 97-114,*,34:00,7,17,.412,0,2,.000,7,15,.467,.412,1,4,.250,2,6,8,3,1,0,1,4,15,8.4
8,28,8,1989-05-13,CHI,,NYK,W 111-88,*,39:00,14,25,.560,1,2,.500,13,23,.565,.580,11,13,.846,2,13,15,9,6,1,3,3,40,41.4
9,29,9,1989-05-14,CHI,,NYK,W 106-93,*,42:00,12,18,.667,0,1,.000,12,17,.706,.667,23,28,.821,0,11,11,6,1,2,6,3,47,39.9
10,30,10,1989-05-16,CHI,@,NYK,L 114-121,*,43:00,13,30,.433,1,3,.333,12,27,.444,.450,11,15,.733,5,3,8,10,5,1,3,2,38,33.9
11,31,11,1989-05-19,CHI,,NYK,W 113-111,*,45:00,14,22,.636,1,3,.333,13,19,.684,.659,11,12,.917,1,4,5,10,0,4,6,3,40,34.3
12,32,12,1989-05-21,CHI,@,DET,W 94-88,*,45:00,10,29,.345,2,6,.333,8,23,.348,.379,10,13,.769,2,9,11,4,0,0,3,5,32,16.4
13,33,13,1989-05-23,CHI,@,DET,L 91-100,*,38:00,9,20,.450,0,2,.000,9,18,.500,.450,9,11,.818,1,3,4,4,2,1,4,5,27,16.9
14,34,14,1989-05-27,CHI,,DET,W 99-97,*,45:00,16,26,.615,0,3,.000,16,23,.696,.615,14,15,.933,3,4,7,5,5,0,2,2,46,42.8
15,35,15,1989-05-29,CHI,,DET,L 80-86,*,43:00,5,15,.333,1,3,.333,4,12,.333,.367,12,17,.706,0,2,2,4,1,0,1,5,23,13.9
16,36,16,1989-05-31,CHI,@,DET,L 85-94,*,46:00,4,8,.500,0,1,.000,4,7,.571,.500,10,11,.909,0,5,5,9,1,0,4,3,18,17.2
17,37,17,1989-06-02,CHI,,DET,L 94-103,*,42:00,13,26,.500,1,2,.500,12,24,.500,.519,5,12,.417,0,4,4,13,3,2,8,5,32,20.9
