Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,849,1,1997-10-31,CHI,@,BOS,L 85-92,*,42:02,7,23,.304,0,0,,7,23,.304,.304,16,21,.762,1,5,6,4,2,1,3,2,30,18.6,-8
2,850,2,1997-11-01,CHI,,PHI,W 94-74,*,24:19,7,14,.500,0,0,,7,14,.500,.500,2,2,1.000,1,6,7,2,2,0,3,3,16,10.7,17
3,851,3,1997-11-03,CHI,,SAS,W 87-83 (2OT),*,47:54,12,39,.308,1,4,.250,11,35,.314,.321,4,6,.667,4,9,13,4,5,2,3,0,29,17.4,-6
4,852,4,1997-11-05,CHI,,ORL,W 94-81,*,40:40,11,25,.440,0,3,.000,11,22,.500,.440,7,9,.778,4,13,17,4,0,0,0,2,29,23.8,20
5,853,5,1997-11-07,CHI,@,ATL,L 78-80,*,39:33,11,25,.440,0,1,.000,11,24,.458,.440,5,7,.714,1,8,9,6,1,0,2,1,27,19.0,-6
6,854,6,1997-11-08,CHI,,NJN,W 99-86,*,33:15,5,13,.385,0,1,.000,5,12,.417,.385,5,8,.625,1,4,5,2,2,0,2,3,15,8.8,6
7,855,7,1997-11-11,CHI,@,CLE,L 80-101,*,33:42,7,17,.412,0,1,.000,7,16,.438,.412,5,7,.714,2,4,6,1,1,0,3,1,19,10.0,-19
8,856,8,1997-11-12,CHI,,WAS,L 83-90,*,40:14,10,28,.357,0,2,.000,10,26,.385,.357,8,12,.667,2,5,7,3,4,2,5,1,28,15.8,-4
9,857,9,1997-11-14,CHI,,CHH,W 105-92,*,38:14,12,24,.500,2,2,1.000,10,22,.455,.542,2,2,1.000,1,3,4,7,1,1,2,0,28,22.2,17
10,858,10,1997-11-15,CHI,,CLE,W 79-70,*,38:44,11,26,.423,1,1,1.000,10,25,.400,.442,4,7,.571,0,2,2,4,2,0,5,2,27,11.6,12
11,859,11,1997-11-20,CHI,@,PHO,L 85-89,*,40:47,13,27,.481,0,1,.000,13,26,.500,.481,4,6,.667,1,5,6,3,1,0,3,0,30,17.8,4
12,860,12,1997-11-21,CHI,@,LAC,W 111-102 (2OT),*,52:04,18,38,.474,0,2,.000,18,36,.500,.474,13,19,.684,2,3,5,5,1,1,4,3,49,29.5,15
13,861,13,1997-11-23,CHI,@,SAC,W 103-88,*,40:39,11,19,.579,0,0,,11,19,.579,.579,11,12,.917,1,2,3,5,2,1,2,1,33,28.8,10
14,862,14,1997-11-25,CHI,@,SEA,L 90-91,*,37:49,11,25,.440,0,2,.000,11,23,.478,.440,4,6,.667,2,4,6,5,5,0,3,1,26,19.8,7
15,863,15,1997-11-28,CHI,@,IND,L 83-94,*,41:59,11,26,.423,0,2,.000,11,24,.458,.423,4,8,.500,1,6,7,2,2,0,1,3,26,14.3,1
16,864,16,1997-11-29,CHI,@,WAS,W 88-83,*,37:16,10,21,.476,1,1,1.000,9,20,.450,.500,8,12,.667,0,4,4,3,2,0,2,3,29,18.8,2
17,865,17,1997-12-03,CHI,@,BOS,W 97-87,*,39:33,11,21,.524,1,3,.333,10,18,.556,.548,6,8,.750,4,5,9,5,2,1,7,2,29,20.6,17
18,866,18,1997-12-05,CHI,,MIL,W 84-62,*,35:11,4,16,.250,0,3,.000,4,13,.308,.250,5,6,.833,3,6,9,2,1,0,1,3,13,7.1,15
19,867,19,1997-12-09,CHI,,NYK,W 100-82,*,37:18,10,23,.435,0,0,,10,23,.435,.435,9,9,1.000,1,3,4,4,1,0,4,4,29,16.7,17
20,868,20,1997-12-10,CHI,@,ORL,L 98-106,*,36:47,6,17,.353,0,1,.000,6,16,.375,.353,13,13,1.000,1,1,2,5,1,0,3,3,25,16.8,-10
21,869,21,1997-12-12,CHI,@,CHH,L 77-79,*,40:59,12,24,.500,0,0,,12,24,.500,.500,4,6,.667,3,6,9,5,0,0,4,2,28,17.8,3
22,870,22,1997-12-13,CHI,,TOR,W 97-70,*,26:52,4,16,.250,0,0,,4,16,.250,.250,3,4,.750,3,3,6,2,2,0,0,0,11,7.4,24
23,871,23,1997-12-15,CHI,,PHO,W 111-104,*,36:07,10,23,.435,0,1,.000,10,22,.455,.435,11,12,.917,3,6,9,4,4,1,2,2,31,27.1,19
24,872,24,1997-12-17,CHI,,LAL,W 104-83,*,34:41,12,22,.545,1,2,.500,11,20,.550,.568,11,12,.917,2,3,5,4,1,1,4,4,36,26.2,21
25,873,25,1997-12-20,CHI,@,NJN,W 100-92,*,41:40,10,23,.435,0,0,,10,23,.435,.435,4,5,.800,3,2,5,3,0,2,2,2,24,14.9,1
26,874,26,1997-12-23,CHI,,LAC,W 94-89,*,39:30,9,24,.375,0,1,.000,9,23,.391,.375,9,12,.750,7,5,12,4,0,1,2,0,27,20.5,5
27,875,27,1997-12-25,CHI,,MIA,W 90-80,*,37:35,8,20,.400,0,1,.000,8,19,.421,.400,8,12,.667,4,7,11,4,2,0,3,0,24,18.3,17
28,876,28,1997-12-27,CHI,,ATL,W 97-90,*,36:22,18,26,.692,0,0,,18,26,.692,.692,11,13,.846,2,2,4,2,3,1,4,2,47,37.5,11
29,877,29,1997-12-29,CHI,,DAL,W 111-105,*,41:37,16,29,.552,0,1,.000,16,28,.571,.552,9,11,.818,1,6,7,0,0,2,2,1,41,27.8,14
30,878,30,1997-12-30,CHI,@,MIN,L 95-99,*,38:44,11,28,.393,1,3,.333,10,25,.400,.411,10,13,.769,0,4,4,1,0,0,3,1,33,15.1,-12
31,879,31,1998-01-02,CHI,,MIL,W 114-100,*,42:41,15,22,.682,1,1,1.000,14,21,.667,.705,13,15,.867,1,4,5,1,2,0,0,1,44,38.0,15
32,880,32,1998-01-03,CHI,@,DET,W 105-96,*,46:37,12,25,.480,0,1,.000,12,24,.500,.480,10,11,.909,0,9,9,9,1,2,4,2,34,27.5,9
33,881,33,1998-01-06,CHI,,BOS,W 90-79,*,40:39,5,13,.385,0,1,.000,5,12,.417,.385,9,12,.750,1,2,3,4,3,0,3,0,19,14.8,19
34,882,34,1998-01-07,CHI,@,MIA,L 72-99,*,36:52,12,27,.444,1,2,.500,11,25,.440,.463,1,3,.333,2,2,4,1,1,0,1,0,26,13.8,-23
35,883,35,1998-01-09,CHI,@,NYK,W 90-89,*,41:32,17,33,.515,1,4,.250,16,29,.552,.530,9,10,.900,1,3,4,2,3,1,1,3,44,31.8,6
36,884,36,1998-01-10,CHI,,GSW,W 87-82,*,38:33,13,31,.419,0,1,.000,13,30,.433,.419,6,10,.600,4,2,6,3,0,0,1,0,32,18.4,7
