Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,159,1,1998-04-24,CHI,,NJN,W 96-93 (OT),*,47:29,11,27,.407,0,2,.000,11,25,.440,.407,17,23,.739,0,7,7,3,1,1,3,1,39,24.6,9
2,160,2,1998-04-26,CHI,,NJN,W 96-91,*,38:59,9,19,.474,0,0,,9,19,.474,.474,14,17,.824,1,3,4,2,1,1,5,2,32,20.0,1
3,161,3,1998-04-29,CHI,@,NJN,W 116-101,*,43:40,16,22,.727,2,2,1.000,14,20,.700,.773,4,5,.800,2,2,4,3,2,1,2,2,38,32.6,11
4,162,4,1998-05-03,CHI,,CHH,W 83-70,*,44:21,11,26,.423,1,3,.333,10,23,.435,.442,12,14,.857,4,7,11,4,1,1,3,0,35,26.8,11
5,163,5,1998-05-06,CHI,,CHH,L 76-78,*,39:43,10,21,.476,0,3,.000,10,18,.556,.476,2,3,.667,1,4,5,6,0,0,0,2,22,16.2,-1
6,164,6,1998-05-08,CHI,@,CHH,W 103-89,*,38:55,9,20,.450,0,1,.000,9,19,.474,.450,9,10,.900,3,2,5,6,1,0,3,3,27,19.9,12
7,165,7,1998-05-10,CHI,@,CHH,W 94-80,*,39:31,14,31,.452,0,1,.000,14,30,.467,.452,3,3,1.000,0,3,3,4,1,0,2,1,31,17.2,22
8,166,8,1998-05-13,CHI,,CHH,W 93-84,*,41:59,15,29,.517,0,3,.000,15,26,.577,.517,3,4,.750,1,3,4,3,2,1,0,3,33,23.5,4
9,167,9,1998-05-17,CHI,,IND,W 85-79,*,40:58,11,28,.393,0,0,,11,28,.393,.393,9,10,.900,2,4,6,1,5,0,1,1,31,22.3,9
10,168,10,1998-05-19,CHI,,IND,W 104-98,*,42:20,13,22,.591,0,1,.000,13,21,.619,.591,15,18,.833,0,4,4,5,4,0,0,3,41,37.1,-1
11,169,11,1998-05-23,CHI,@,IND,L 105-107,*,43:30,9,22,.409,2,3,.667,7,19,.368,.455,10,12,.833,1,3,4,7,1,0,5,3,30,18.7,4
12,170,12,1998-05-25,CHI,@,IND,L 94-96,*,40:49,12,27,.444,1,3,.333,11,24,.458,.463,3,4,.750,2,3,5,2,0,2,6,4,28,11.0,-5
13,171,13,1998-05-27,CHI,,IND,W 106-87,*,36:26,12,20,.600,2,4,.500,10,16,.625,.650,3,4,.750,1,6,7,4,1,1,0,2,29,25.6,37
14,172,14,1998-05-29,CHI,@,IND,L 89-92,*,41:45,12,23,.522,1,4,.250,11,19,.579,.543,10,11,.909,1,4,5,2,1,0,3,4,35,23.0,-2
15,173,15,1998-05-31,CHI,,IND,W 88-83,*,42:01,9,25,.360,0,0,,9,25,.360,.360,10,15,.667,5,4,9,8,0,0,2,3,28,19.2,8
16,174,16,1998-06-03,CHI,@,UTA,L 85-88 (OT),*,45:36,13,29,.448,1,2,.500,12,27,.444,.466,6,8,.750,1,2,3,2,0,2,0,3,33,20.0,1
17,175,17,1998-06-05,CHI,@,UTA,W 93-88,*,40:14,14,33,.424,0,2,.000,14,31,.452,.424,9,10,.900,3,2,5,3,1,1,0,2,37,24.8,16
18,176,18,1998-06-07,CHI,,UTA,W 96-54,*,32:06,7,14,.500,0,0,,7,14,.500,.500,10,11,.909,1,2,3,2,1,1,2,1,24,18.6,24
19,177,19,1998-06-10,CHI,,UTA,W 86-82,*,43:10,12,27,.444,0,0,,12,27,.444,.444,10,15,.667,3,5,8,2,2,0,3,1,34,21.5,0
20,178,20,1998-06-12,CHI,,UTA,L 81-83,*,44:43,9,26,.346,0,2,.000,9,24,.375,.346,10,11,.909,1,3,4,4,3,0,4,4,28,14.8,-4
21,179,21,1998-06-14,CHI,@,UTA,W 87-86,*,43:41,15,35,.429,3,7,.429,12,28,.429,.471,12,15,.800,0,1,1,1,4,0,1,2,45,28.5,2
