Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1984-85,21,CHI,NBA,SG,4,4,171,9.8,22.5,.436,0.3,2.3,.125,9.5,20.2,.471,.442,13.9,16.7,.828,2.0,4.6,6.6,9.8,3.2,1.2,4.3,4.3,33.8,120,112,
1985-86,22,CHI,NBA,SG,3,3,135,17.4,34.5,.505,0.4,0.4,1.000,17.1,34.2,.500,.511,12.4,14.2,.872,1.8,5.1,6.9,6.2,2.5,1.5,5.1,4.7,47.6,116,119,
1986-87,23,CHI,NBA,SG,3,3,128,14.7,35.2,.417,0.8,2.1,.400,13.8,33.1,.418,.429,14.7,16.3,.897,2.9,5.9,8.8,7.5,2.5,2.9,3.3,4.6,44.8,115,114,
1987-88,24,CHI,NBA,SG,10,10,427,16.7,31.5,.531,0.1,0.4,.333,16.6,31.1,.533,.533,10.4,12.0,.869,2.8,5.8,8.6,5.7,2.9,1.3,4.7,4.6,43.9,117,104,
1988-89,25,CHI,NBA,SG,17,17,718,14.6,28.6,.510,0.7,2.6,.286,13.9,26.0,.532,.523,13.4,16.8,.799,1.9,6.8,8.7,9.5,3.1,1.0,5.0,4.8,43.4,120,104,
1989-90,26,CHI,NBA,SG,16,16,674,16.8,32.7,.514,1.2,3.8,.320,15.6,28.9,.540,.533,10.2,12.2,.836,1.8,7.0,8.8,8.4,3.5,1.1,4.3,4.1,45.1,120,102,
1990-91,27,CHI,NBA,SG,17,17,689,15.6,29.7,.524,0.8,2.1,.385,14.8,27.7,.534,.537,9.9,11.7,.845,1.4,7.1,8.5,11.2,3.2,1.8,3.4,4.2,41.8,127,101,Finals MVP-1
1991-92,28,CHI,NBA,SG,22,22,920,17.0,34.1,.499,1.0,2.6,.386,16.0,31.5,.508,.514,9.5,11.1,.857,2.2,5.9,8.0,7.4,2.6,0.9,4.7,3.6,44.5,115,104,Finals MVP-1
1992-93,29,CHI,NBA,SG,19,19,783,17.4,36.6,.475,1.9,5.0,.389,15.4,31.6,.489,.502,9.4,11.7,.805,2.2,6.6,8.9,7.9,2.7,1.2,3.1,4.0,46.1,119,105,Finals MVP-1
1994-95,31,CHI,NBA,SG,10,10,420,15.7,32.4,.484,1.4,3.9,.367,14.2,28.5,.500,.506,8.4,10.3,.810,2.6,5.9,8.5,5.9,3.0,1.8,5.4,3.9,41.1,110,107,
1995-96,32,CHI,NBA,SG,18,18,733,14.1,30.7,.459,1.9,4.7,.403,12.2,26.0,.470,.490,11.5,14.1,.818,2.3,4.4,6.7,5.6,2.5,0.5,3.2,3.7,41.6,123,101,Finals MVP-1
1996-97,33,CHI,NBA,SG,19,19,804,15.8,34.8,.456,0.9,4.7,.194,14.9,30.1,.497,.469,8.6,10.3,.831,2.9,7.5,10.5,6.4,2.1,1.2,3.4,3.2,41.2,114,101,Finals MVP-1
1997-98,34,CHI,NBA,SG,21,21,872,15.9,34.4,.462,0.9,2.8,.302,15.1,31.6,.476,.474,11.8,14.6,.812,2.2,4.8,7.0,4.8,2.1,0.8,2.9,3.1,44.5,117,103,Finals MVP-1
