Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,23,82,82,3281,16.8,34.8,.482,0.2,1.0,.182,16.6,33.8,.491,.484,12.7,14.8,.857,2.5,4.0,6.6,5.8,3.6,1.9,4.2,3.6,46.4,117,104,MVP-2DPOY-8ASNBA1,jordami01
2,Charles Oakley,23,82,81,2980,7.9,17.7,.445,0.2,0.5,.367,7.7,17.2,.447,.450,4.1,6.0,.686,5.0,13.0,18.1,5.0,1.4,0.6,5.0,5.3,20.0,97,104,,oaklech01
3,John Paxson,26,82,64,2689,7.2,14.8,.487,1.0,2.6,.371,6.2,12.2,.511,.520,2.0,2.4,.809,0.4,2.2,2.6,8.7,1.2,0.1,2.0,3.9,17.3,117,112,,paxsojo01
4,Dave Corzine,30,82,39,2287,6.4,13.6,.475,0.0,0.1,.000,6.4,13.4,.479,.475,2.1,2.8,.736,4.4,7.5,11.8,4.6,0.8,1.9,2.5,4.4,15.0,108,108,,corzida01
5,Gene Banks,27,63,39,1822,6.8,12.7,.539,0.0,0.1,.000,6.8,12.6,.545,.539,3.1,4.0,.767,3.2,5.3,8.5,4.7,1.4,0.5,3.1,4.8,16.8,111,109,,banksge01
6,Brad Sellers,24,80,17,1751,7.9,17.3,.455,0.1,0.3,.200,7.8,17.0,.460,.457,3.6,4.9,.728,4.4,6.2,10.7,2.9,1.3,1.9,2.4,5.5,19.5,107,108,,sellebr01
7,Earl Cureton,29,43,36,1105,5.8,12.5,.467,0.0,0.0,.000,5.8,12.5,.469,.467,1.8,3.3,.534,5.1,5.2,10.3,3.2,0.7,1.2,2.0,4.6,13.5,106,110,,curetea01
8,Elston Turner,27,70,4,936,6.0,13.5,.444,0.1,0.4,.125,5.9,13.1,.455,.446,1.2,1.7,.742,1.8,4.3,6.2,5.5,1.6,0.2,1.7,5.2,13.3,105,110,,turneel01
9,Mike Brown,23,62,3,818,6.5,12.3,.527,0.0,0.0,,6.5,12.3,.527,.527,2.8,4.4,.639,4.3,8.8,13.1,1.5,1.2,0.4,3.6,7.9,15.8,101,107,,brownmi01
10,Sedale Threatt,25,40,0,778,8.4,17.6,.480,0.0,1.0,.000,8.4,16.5,.510,.480,3.4,4.2,.803,0.5,2.8,3.3,11.4,2.7,0.6,2.7,5.7,20.3,114,108,,threase01
11,Granville Waiters,26,44,26,534,3.8,8.7,.430,0.0,0.1,.000,3.8,8.6,.435,.430,0.5,0.8,.556,3.6,4.6,8.2,2.1,0.9,2.9,1.5,7.8,8.0,99,108,,waitegr01
12,Steve Colter,24,27,18,473,5.2,15.0,.345,0.0,1.0,.000,5.2,14.1,.368,.345,3.5,4.1,.846,1.0,3.5,4.4,10.0,2.0,0.6,3.4,4.0,13.9,95,109,,coltest01
13,Ben Poquette,31,21,1,167,6.3,12.0,.525,0.0,0.3,.000,6.3,11.7,.538,.525,2.7,3.3,.818,3.0,4.2,7.2,2.1,0.9,3.6,1.2,7.8,15.3,121,108,,poquebe01
14,Pete Myers,23,29,0,155,6.1,16.8,.365,0.0,1.9,.000,6.1,14.9,.413,.365,9.0,13.9,.651,2.6,2.9,5.5,6.8,4.5,0.6,3.2,8.1,21.3,103,104,,myerspe01
15,Fred Cofield,25,5,0,27,3.7,20.4,.182,0.0,1.9,.000,3.7,18.6,.200,.182,0.0,0.0,,1.9,7.4,9.3,7.4,3.7,0.0,1.9,1.9,7.4,61,104,,cofiefr01
16,Perry Young,23,5,0,20,5.0,10.0,.500,0.0,0.0,,5.0,10.0,.500,.500,2.5,5.0,.500,0.0,2.5,2.5,0.0,2.5,0.0,2.5,7.5,12.5,87,109,,youngpe01
17,Darren Daye,26,1,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,7.2,14.3,0.0,36,111,,dayeda01
