Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Scottie Pippen,25,17,17,704,11.0,21.8,.504,0.3,1.3,.235,10.7,20.5,.521,.511,6.2,7.8,.792,2.9,8.8,11.7,7.7,3.2,1.5,4.3,4.5,28.5,114,100,,pippesc01
2,Michael Jordan,27,17,17,689,15.6,29.7,.524,0.8,2.1,.385,14.8,27.7,.534,.537,9.9,11.7,.845,1.4,7.1,8.5,11.2,3.2,1.8,3.4,4.2,41.8,127,101,Finals MVP-1,jordami01
3,Horace Grant,25,17,17,666,7.4,12.8,.583,0.0,0.0,,7.4,12.8,.583,.583,3.6,4.9,.733,4.6,6.7,11.3,3.1,1.2,0.5,1.6,3.7,18.5,130,106,,grantho01
4,Bill Cartwright,33,17,17,511,7.5,14.4,.519,0.0,0.0,,7.5,14.4,.519,.519,2.3,3.4,.688,2.7,5.9,8.5,3.4,1.0,0.7,2.2,5.9,17.3,111,107,,cartwbi01
5,John Paxson,30,17,17,487,6.9,13.1,.530,0.2,1.6,.143,6.7,11.5,.583,.538,1.6,1.6,1.000,0.2,2.3,2.6,5.9,1.2,0.0,0.7,3.6,15.7,128,110,,paxsojo01
6,B.J. Armstrong,23,17,0,273,7.0,14.0,.500,0.6,1.0,.600,6.4,13.0,.492,.521,4.0,5.0,.800,1.0,4.4,5.4,8.6,3.8,0.2,2.6,2.6,18.6,119,103,,armstbj01
7,Craig Hodges,30,17,0,209,8.6,20.3,.423,2.9,7.3,.393,5.7,13.0,.440,.494,0.8,1.0,.750,0.0,1.0,1.0,2.6,2.9,0.0,2.9,5.5,20.8,97,107,,hodgecr01
8,Will Perdue,25,17,0,198,8.0,14.6,.547,0.0,0.0,,8.0,14.6,.547,.547,3.3,6.1,.545,8.8,9.1,17.9,1.1,0.6,2.2,3.9,11.3,19.3,110,104,,perduwi01
9,Cliff Levingston,30,17,0,192,6.0,11.6,.512,0.0,0.0,,6.0,11.6,.512,.512,0.9,1.7,.500,6.2,5.4,11.6,2.0,2.8,2.0,0.6,7.9,12.8,126,102,,levincl01
10,Stacey King,24,11,0,86,5.1,17.1,.296,0.0,0.6,.000,5.1,16.5,.308,.296,4.4,7.0,.636,5.7,8.2,13.9,1.3,0.6,0.6,5.7,9.5,14.6,76,106,,kingst01
11,Scott Williams,22,12,0,72,4.5,9.8,.462,0.0,0.8,.000,4.5,9.1,.500,.462,8.3,15.1,.550,3.0,12.1,15.1,2.3,0.8,2.3,3.0,11.3,17.4,104,101,,willisc01
12,Dennis Hopson,25,5,0,18,6.1,18.2,.333,0.0,0.0,,6.1,18.2,.333,.333,12.1,27.2,.444,6.1,6.1,12.1,3.0,0.0,3.0,3.0,6.1,24.2,93,107,,hopsode01
