 
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Scottie Pippen,26,82,82,3164,11.0,21.8,.506,0.3,1.3,.200,10.8,20.6,.525,.511,5.3,7.0,.760,3.0,7.2,10.1,9.2,2.5,1.5,4.1,3.9,27.6,114,102,MVP-9DPOY-3ASNBA2DEF1,pippesc01
2,Michael Jordan,28,80,80,3102,15.5,29.8,.519,0.4,1.6,.270,15.0,28.2,.533,.526,8.0,9.7,.832,1.5,6.9,8.4,8.0,3.0,1.2,3.3,3.3,39.4,121,102,MVP-1DPOY-3ASNBA1DEF1,jordami01
3,Horace Grant,26,81,81,2859,8.1,14.0,.578,0.0,0.0,.000,8.1,14.0,.580,.578,4.2,5.6,.741,6.1,8.2,14.4,3.9,1.8,2.3,1.7,3.5,20.4,132,102,,grantho01
4,John Paxson,31,79,79,1946,6.7,12.7,.528,0.3,1.1,.273,6.4,11.6,.553,.540,0.8,1.0,.784,0.5,2.0,2.5,6.3,1.3,0.2,1.1,3.7,14.5,121,110,,paxsojo01
5,B.J. Armstrong,24,82,3,1875,9.1,18.9,.481,0.9,2.4,.402,8.1,16.5,.492,.506,2.8,3.5,.806,0.5,3.4,3.9,7.2,1.2,0.1,2.5,2.4,21.9,112,109,,armstbj01
6,Bill Cartwright,34,64,64,1471,7.2,15.4,.467,0.0,0.0,,7.2,15.4,.467,.467,3.3,5.5,.604,3.2,8.0,11.2,3.0,0.8,0.5,2.6,4.5,17.7,104,106,,cartwbi01
7,Stacey King,25,79,12,1268,8.6,17.0,.506,0.1,0.2,.400,8.5,16.8,.507,.508,4.8,6.3,.753,3.5,4.7,8.2,3.1,0.8,1.0,3.0,5.2,22.1,112,108,,kingst01
8,Cliff Levingston,31,79,0,1020,6.2,12.5,.498,0.0,0.3,.167,6.2,12.2,.506,.500,3.0,4.8,.625,5.4,5.9,11.3,3.3,1.3,2.2,2.1,6.7,15.5,115,105,,levincl01
9,Will Perdue,26,77,7,1007,7.7,14.0,.547,0.1,0.1,.500,7.6,13.9,.547,.549,2.3,4.6,.495,5.5,10.3,15.8,4.0,0.8,2.2,3.6,6.7,17.7,107,103,,perduwi01
10,Bob Hansen,31,66,0,769,5.0,11.2,.444,0.5,1.7,.280,4.5,9.5,.472,.464,0.5,1.5,.364,1.0,3.8,4.8,4.5,1.7,0.2,1.9,8.5,10.9,99,107,,hansebo01
11,Scott Williams,23,63,0,690,6.1,12.7,.483,0.0,0.2,.000,6.1,12.5,.491,.483,3.5,5.5,.649,6.6,11.6,18.2,3.7,1.0,2.7,2.6,9.0,15.8,114,101,,willisc01
12,Craig Hodges,31,56,2,555,8.5,22.2,.384,3.3,8.8,.375,5.2,13.4,.390,.459,1.5,1.6,.941,0.6,1.6,2.2,4.9,1.3,0.1,2.0,3.0,21.8,105,110,,hodgecr01
13,Mark Randall,24,15,0,67,7.6,16.7,.455,0.0,1.5,.000,7.6,15.2,.500,.455,4.6,6.1,.750,3.0,3.8,6.8,5.3,0.0,0.0,4.6,6.1,19.7,100,111,,randama01
14,Rory Sparrow,33,4,0,18,2.8,22.6,.125,2.8,5.6,.500,0.0,16.9,.000,.188,0.0,0.0,,0.0,2.8,2.8,11.3,0.0,0.0,5.6,5.6,8.5,56,112,,sparrro01
15,Dennis Hopson,26,2,0,10,5.1,10.2,.500,0.0,0.0,,5.1,10.2,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,5.1,0.0,0.0,10.2,10.2,110,103,,hopsode01
16,Chuck Nevitt,32,4,0,9,5.6,16.9,.333,0.0,0.0,,5.6,16.9,.333,.333,0.0,0.0,,0.0,5.6,5.6,5.6,0.0,0.0,16.9,11.3,11.3,40,109,,nevitch01
