Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,61,1,2010-04-17,CLE,,CHI,W 96-83,*,40:14,9,19,.474,0,1,.000,9,18,.500,.474,6,7,.857,0,6,6,5,1,4,3,2,24,19.2,19
2,62,2,2010-04-19,CLE,,CHI,W 112-102,*,41:05,16,23,.696,2,4,.500,14,19,.737,.739,6,6,1.000,1,7,8,8,1,2,2,2,40,38.3,6
3,63,3,2010-04-22,CLE,@,CHI,L 106-108,*,44:16,14,26,.538,4,8,.500,10,18,.556,.615,7,13,.538,2,8,10,8,2,3,5,3,39,31.3,5
4,64,4,2010-04-25,CLE,@,CHI,W 121-98,*,36:24,11,17,.647,6,9,.667,5,8,.625,.824,9,10,.900,0,12,12,11,2,1,2,3,37,39.9,29
5,65,5,2010-04-27,CLE,,CHI,W 96-94,*,43:13,5,12,.417,1,2,.500,4,10,.400,.458,8,14,.571,3,7,10,9,0,2,3,1,19,18.7,1
6,66,6,2010-05-01,CLE,,BOS,W 101-93,*,43:12,12,24,.500,3,6,.500,9,18,.500,.563,8,11,.727,2,5,7,7,3,2,2,1,35,31.6,7
7,67,7,2010-05-03,CLE,,BOS,L 86-104,*,41:09,7,15,.467,0,4,.000,7,11,.636,.467,10,15,.667,0,7,7,4,3,2,5,1,24,18.2,-16
8,68,8,2010-05-07,CLE,@,BOS,W 124-95,*,39:16,14,22,.636,2,3,.667,12,19,.632,.682,8,9,.889,2,6,8,7,1,2,1,1,38,36.9,30
9,69,9,2010-05-09,CLE,@,BOS,L 87-97,*,43:14,7,18,.389,0,5,.000,7,13,.538,.389,8,11,.727,1,8,9,8,2,1,7,4,22,13.8,-10
10,70,10,2010-05-11,CLE,,BOS,L 88-120,*,41:40,3,14,.214,0,4,.000,3,10,.300,.214,9,12,.750,1,5,6,7,1,0,3,3,15,9.1,-22
11,71,11,2010-05-13,CLE,@,BOS,L 85-94,*,46:12,8,21,.381,2,4,.500,6,17,.353,.429,9,12,.750,3,16,19,10,3,1,9,2,27,22.1,-5
