Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,32,74,74,2794,13.1,24.0,.548,2.2,6.1,.363,10.9,17.9,.611,.594,6.4,9.5,.674,1.7,9.7,11.4,11.5,1.6,0.8,5.4,2.4,34.9,119,108,MVP-4DPOY-5ASNBA1,jamesle01
2,Kyrie Irving,24,72,72,2525,13.3,28.1,.473,3.5,8.7,.401,9.8,19.4,.505,.535,5.9,6.5,.905,1.0,3.5,4.5,8.3,1.6,0.5,3.6,3.1,35.9,116,112,AS,irvinky01
3,Tristan Thompson,25,78,78,2336,5.6,9.3,.600,0.0,0.1,.000,5.6,9.3,.604,.600,2.3,4.6,.498,6.1,9.2,15.3,1.6,0.8,1.8,1.4,3.8,13.5,128,109,,thomptr01
4,Iman Shumpert,26,76,31,1937,5.2,12.6,.411,2.4,6.7,.360,2.8,5.9,.469,.507,1.8,2.3,.789,1.0,4.6,5.6,2.8,1.6,0.7,2.0,3.9,14.6,104,112,,shumpim01
5,Kevin Love,28,60,60,1885,9.8,23.0,.427,3.8,10.3,.373,6.0,12.7,.471,.510,6.8,7.8,.871,3.9,13.7,17.6,3.1,1.4,0.6,3.2,3.3,30.2,114,107,AS,loveke01
6,Richard Jefferson,36,79,13,1614,4.7,10.6,.446,1.9,5.8,.333,2.8,4.9,.580,.536,2.5,3.3,.741,0.9,5.4,6.3,2.4,0.8,0.3,1.6,4.7,13.9,111,113,,jefferi01
7,Channing Frye,33,74,15,1398,8.5,18.6,.458,4.9,12.0,.409,3.6,6.6,.546,.589,2.2,2.6,.851,1.3,9.0,10.4,1.6,1.2,1.3,1.9,4.9,24.1,115,109,,fryech01
8,J.R. Smith,31,41,35,1187,5.2,15.0,.346,4.0,11.4,.351,1.2,3.6,.329,.479,0.4,0.6,.667,0.7,4.0,4.8,2.6,1.7,0.5,1.1,3.2,14.8,101,112,,smithjr01
9,Kyle Korver,35,35,1,859,7.6,15.6,.487,5.6,11.6,.485,2.0,4.0,.493,.667,0.8,0.9,.933,0.4,5.2,5.6,2.0,0.6,0.5,1.7,3.5,21.7,122,114,,korveky01
10,DeAndre Liggins,28,61,19,752,3.5,9.0,.382,1.1,3.0,.378,2.3,6.0,.385,.445,1.5,2.5,.622,1.1,5.6,6.7,3.6,3.0,0.9,2.8,5.2,9.6,91,108,,liggide01
11,Deron Williams,32,24,4,486,7.0,15.1,.463,2.3,5.4,.415,4.7,9.7,.489,.537,2.2,2.6,.840,0.1,4.5,4.6,8.8,0.6,0.6,4.1,4.3,18.4,107,114,,willide01
12,Derrick Williams,25,25,0,427,6.3,12.5,.505,2.5,6.1,.404,3.9,6.4,.600,.603,3.2,4.6,.692,0.4,6.3,6.7,1.6,0.6,0.2,1.6,3.2,18.2,117,113,,willide02
13,Kay Felder,21,42,0,386,8.0,20.4,.392,0.9,2.8,.318,7.1,17.6,.404,.415,4.5,6.3,.714,0.4,4.9,5.3,7.5,2.3,0.9,3.9,4.9,21.5,95,110,,feldeka01
14,Jordan McRae,25,37,4,384,7.5,19.5,.387,2.3,6.6,.353,5.2,12.9,.404,.447,3.5,4.4,.794,0.8,4.5,5.3,2.5,1.0,0.8,1.8,4.0,20.9,99,113,,mcraejo01
15,James Jones,36,48,2,381,5.8,12.1,.478,4.1,8.6,.470,1.7,3.4,.500,.647,1.7,2.6,.650,0.4,4.5,4.8,1.8,0.8,1.3,1.3,4.8,17.3,122,113,,jonesja02
16,Mike Dunleavy,36,23,2,366,4.9,12.3,.400,2.7,7.8,.351,2.2,4.5,.485,.511,1.9,2.6,.737,0.7,5.7,6.4,2.7,0.8,0.3,1.9,4.4,14.5,104,113,,dunlemi02
17,Chris Andersen,38,12,0,114,3.9,9.6,.409,0.0,1.3,.000,3.9,8.3,.474,.409,4.4,6.1,.714,3.9,9.6,13.6,2.2,2.2,3.1,2.2,8.8,12.3,107,104,,anderch01
18,Edy Tavares,24,1,0,24,6.2,8.3,.750,0.0,0.0,,6.2,8.3,.750,.750,0.0,2.1,.000,8.3,12.5,20.8,2.1,0.0,12.5,4.2,6.2,12.5,115,96,,tavarwa01
19,Larry Sanders,28,5,0,13,3.8,15.4,.250,0.0,0.0,,3.8,15.4,.250,.250,7.7,7.7,1.000,11.5,3.8,15.4,0.0,3.8,3.8,7.7,19.2,15.4,85,103,,sandela01
20,Dahntay Jones,36,1,0,12,12.5,33.3,.375,0.0,8.3,.000,12.5,25.0,.500,.375,12.5,16.6,.750,4.2,4.2,8.3,4.2,0.0,0.0,4.2,4.2,37.4,97,116,,jonesda02
21,Andrew Bogut,32,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,,114,,bogutan01
