Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1979-80,20,LAL,NBA,SG,77,,2795,20.6,.602,.033,.487,7.1,15.4,11.6,25.2,3.1,0.8,20.9,20.9,6.2,4.3,10.5,.180,3.1,1.7,4.8,4.8,ROY-2AS
1980-81,21,LAL,NBA,SG,37,,1371,25.7,.582,.029,.383,8.5,16.4,12.7,31.8,4.3,1.0,17.2,24.3,3.8,2.6,6.4,.225,5.6,3.3,8.8,3.8,MVP-11
1981-82,22,LAL,NBA,SG,78,77,2991,22.9,.590,.028,.418,9.5,17.5,13.7,31.0,3.2,0.6,18.9,20.1,8.1,4.8,12.9,.207,4.9,2.3,7.2,7.0,MVP-8ASNBA2
1982-83,23,LAL,NBA,SG,79,79,2907,23.0,.603,.023,.407,8.5,17.1,13.0,34.4,2.8,0.9,21.5,19.0,8.8,3.8,12.5,.207,5.4,1.8,7.2,6.8,MVP-3ASNBA1
1983-84,24,LAL,NBA,PG,67,66,2567,22.6,.628,.037,.459,4.7,16.1,10.8,42.5,2.7,1.0,24.6,19.5,6.7,3.6,10.2,.191,4.8,1.8,6.6,5.6,MVP-3DPOY-12ASNBA1
1984-85,25,LAL,NBA,PG,77,77,2781,23.2,.637,.041,.516,4.1,14.4,9.7,42.5,1.9,0.5,21.7,20.5,9.5,3.2,12.7,.220,5.8,0.8,6.7,6.1,MVP-2ASNBA1
1985-86,26,LAL,NBA,PG,72,70,2578,24.0,.610,.047,.473,3.9,14.3,9.4,45.1,2.0,0.3,19.8,21.6,9.0,3.1,12.1,.226,6.0,0.7,6.7,5.7,MVP-3ASNBA1
1986-87,27,LAL,NBA,PG,80,80,2904,27.0,.602,.030,.482,5.0,13.7,9.7,47.2,2.2,0.7,15.9,26.3,12.1,3.8,15.9,.263,7.5,1.3,8.8,8.0,MVP-1ASNBA1
1987-88,28,LAL,NBA,PG,72,70,2637,23.1,.581,.056,.491,4.0,14.8,9.7,45.4,2.1,0.3,18.2,23.4,7.8,3.1,10.9,.199,5.2,0.8,6.0,5.3,MVP-3ASNBA1
1988-89,29,LAL,NBA,PG,77,77,2886,26.9,.625,.165,.495,4.6,18.0,11.7,48.6,2.3,0.4,18.4,24.3,12.1,4.0,16.1,.267,7.3,2.0,9.4,8.3,MVP-1ASNBA1
1989-90,30,LAL,NBA,PG,79,79,2937,26.6,.622,.243,.560,5.2,14.8,10.2,45.5,2.2,0.7,16.9,24.8,12.8,3.8,16.5,.270,8.3,1.8,10.1,8.9,MVP-1ASNBA1
1990-91,31,LAL,NBA,PG,79,79,2933,25.1,.623,.256,.587,4.3,16.9,10.9,49.3,1.8,0.3,20.4,22.9,11.2,4.2,15.4,.251,7.0,1.9,9.0,8.1,MVP-2ASNBA1
1995-96,36,LAL,NBA,PF,32,9,958,21.1,.612,.197,.684,5.0,17.0,11.1,34.1,1.4,1.0,21.2,22.7,2.6,1.1,3.6,.181,4.7,0.5,5.2,1.8,MVP-126MOY-5
