Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1987-88,22,IND,NBA,SG,82,1,1840,14.0,.580,.274,.297,5.7,5.6,5.7,10.2,1.4,0.6,12.5,18.6,2.9,1.3,4.2,.110,1.1,-0.4,0.7,1.3,
1988-89,23,IND,NBA,SG,74,70,2536,15.7,.602,.294,.409,3.4,9.1,6.4,12.9,1.8,0.7,12.7,18.5,5.2,1.3,6.5,.124,2.0,0.0,2.0,2.5,
1989-90,24,IND,NBA,SG,82,82,3192,20.8,.645,.281,.487,3.7,7.0,5.4,15.1,1.7,0.3,12.4,24.2,10.8,1.3,12.1,.182,4.9,-0.9,4.0,4.8,AS
1990-91,25,IND,NBA,SG,82,82,2972,21.2,.650,.277,.515,3.2,7.4,5.4,16.6,1.8,0.3,10.2,22.5,11.7,0.8,12.5,.202,5.3,-1.1,4.2,4.6,
1991-92,26,IND,NBA,SG,82,82,3120,17.6,.629,.304,.459,3.1,7.9,5.6,14.5,1.6,0.5,10.4,20.2,9.3,1.7,11.0,.169,3.3,-0.7,2.6,3.6,
1992-93,27,IND,NBA,SG,82,82,2954,19.4,.617,.351,.407,2.5,7.0,4.8,13.4,2.0,0.6,9.3,22.2,9.6,1.7,11.3,.183,4.5,-0.2,4.3,4.7,
1993-94,28,IND,NBA,SG,79,79,2638,20.2,.636,.280,.426,1.4,7.7,4.7,15.6,2.3,0.6,12.4,23.5,8.8,2.9,11.7,.212,4.1,0.6,4.7,4.5,
1994-95,29,IND,NBA,SG,81,81,2665,20.1,.620,.430,.391,1.4,8.0,4.8,16.1,2.0,0.5,10.6,24.6,8.5,2.8,11.4,.204,5.0,0.2,5.2,4.9,ASNBA3
1995-96,30,IND,NBA,SG,76,76,2621,20.1,.625,.385,.467,1.9,8.1,5.1,17.2,1.6,0.4,12.8,25.8,8.3,2.0,10.3,.188,5.1,-0.4,4.7,4.5,ASNBA3
1996-97,31,IND,NBA,SG,81,81,2966,20.2,.603,.431,.382,2.2,9.2,5.8,17.4,1.4,0.7,10.3,25.2,9.6,2.7,12.3,.200,5.8,0.0,5.8,5.8,
1997-98,32,IND,NBA,SG,81,81,2795,19.8,.619,.353,.407,2.1,7.6,5.0,11.1,1.5,0.3,9.1,23.9,9.2,2.8,12.0,.206,4.8,0.1,4.8,4.8,MVP-16ASNBA3
1998-99,33,IND,NBA,SG,50,50,1787,18.7,.590,.410,.368,1.7,7.2,4.5,11.4,1.2,0.4,8.9,22.9,6.0,0.4,6.4,.172,4.3,-1.2,3.2,2.3,
1999-00,34,IND,NBA,SG,81,81,2987,17.3,.603,.388,.390,2.0,6.8,4.5,10.2,1.5,0.6,9.6,20.5,8.0,2.0,10.1,.162,3.0,-0.3,2.7,3.6,MVP-13AS
2000-01,35,IND,NBA,SG,81,81,3181,17.3,.574,.395,.296,1.4,8.5,5.1,15.0,1.4,0.3,9.1,21.5,8.1,2.2,10.3,.155,2.8,-0.6,2.3,3.4,
2001-02,36,IND,NBA,SG,79,79,2889,16.5,.617,.485,.356,0.9,7.5,4.3,14.7,1.6,0.2,10.2,18.5,7.7,1.9,9.5,.159,2.7,-0.2,2.5,3.3,
2002-03,37,IND,NBA,SG,70,70,2117,15.9,.597,.499,.361,1.1,7.8,4.6,13.4,1.5,0.1,8.2,17.2,5.6,1.8,7.4,.168,2.2,0.1,2.3,2.3,
2003-04,38,IND,NBA,SG,80,80,2254,16.1,.600,.562,.278,0.9,9.0,4.9,19.1,1.6,0.4,9.3,15.4,6.0,2.9,8.9,.189,2.5,0.9,3.5,3.1,
2004-05,39,IND,NBA,SG,66,66,2105,16.6,.582,.414,.373,1.0,7.7,4.4,13.3,1.3,0.2,8.4,20.8,5.1,1.5,6.6,.151,2.2,-0.3,1.8,2.0,
