Season,Age,Team,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1960-61,22,CIN,NBA,PG,71,3032,25.9,.555,.496,,,,,,,13.0,0.2,13.2,.210,,,,,MVP-5ROY-1ASNBA1
1961-62,23,CIN,NBA,PG,79,3503,26.2,.554,.482,,,,,,,13.4,2.2,15.6,.214,,,,,MVP-3ASNBA1
1962-63,24,CIN,NBA,PG,80,3521,24.6,.588,.476,,,,,,,14.1,2.7,16.8,.229,,,,,MVP-3ASNBA1
1963-64,25,CIN,NBA,PG,79,3559,27.6,.576,.539,,,,,,,16.2,4.4,20.6,.278,,,,,MVP-1ASNBA1
1964-65,26,CIN,NBA,PG,75,3421,26.7,.561,.472,,,,37.8,,,14.3,2.7,17.0,.238,,,,,MVP-2ASNBA1
1965-66,27,CIN,NBA,PG,76,3493,25.2,.563,.511,,,,34.5,,,13.6,3.3,16.9,.232,,,,,MVP-3ASNBA1
1966-67,28,CIN,NBA,PG,79,3468,25.5,.583,.496,,,,35.1,,,14.7,2.7,17.4,.241,,,,,MVP-4ASNBA1
1967-68,29,CIN,NBA,PG,65,2765,24.6,.588,.500,,,,33.2,,,11.5,0.8,12.3,.214,,,,,MVP-5ASNBA1
1968-69,30,CIN,NBA,PG,79,3461,21.8,.579,.568,,,,31.4,,,12.2,0.7,12.9,.180,,,,,ASNBA1
1969-70,31,CIN,NBA,PG,69,2865,21.5,.577,.443,,,,27.0,,,8.7,2.7,11.4,.191,,,,,MVP-16ASNBA2
1970-71,32,MIL,NBA,PG,81,3194,19.6,.563,.380,,,6.9,25.5,,,8.4,4.0,12.4,.186,,,,,MVP-5ASNBA2
1971-72,33,MIL,NBA,PG,64,2390,18.9,.540,.372,,,6.5,26.1,,,4.7,3.6,8.3,.167,,,,,MVP-15AS
1972-73,34,MIL,NBA,PG,73,2737,17.2,.511,.286,,,6.4,25.5,,,3.9,4.6,8.4,.148,,,,,
1973-74,35,MIL,NBA,PG,70,2477,14.2,.502,.329,3.1,8.0,5.7,22.3,1.4,0.1,3.2,2.6,5.9,.113,0.2,-0.3,-0.1,1.2,
