Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1984-85,22,UTA,NBA,PG,82,5,1490,13.3,.548,.033,.580,1.9,5.4,3.6,35.9,3.3,0.4,26.4,15.1,0.8,2.3,3.1,.100,-1.7,1.6,-0.1,0.7,
1985-86,23,UTA,NBA,PG,82,38,1935,17.0,.566,.032,.440,1.9,8.1,5.0,41.8,3.8,0.3,23.2,15.1,2.9,2.9,5.9,.146,0.5,1.9,2.4,2.1,
1986-87,24,UTA,NBA,PG,82,2,1858,19.0,.575,.084,.495,1.8,6.7,4.2,47.6,4.4,0.4,22.5,15.5,3.4,3.3,6.7,.174,1.6,3.7,5.3,3.4,
1987-88,25,UTA,NBA,PG,82,79,2842,23.2,.645,.085,.410,2.1,6.6,4.5,54.8,4.0,0.3,21.9,17.2,9.2,4.9,14.1,.238,5.2,3.3,8.5,7.6,MVP-10DPOY-8NBA2
1988-89,26,UTA,NBA,PG,82,82,3171,22.9,.624,.072,.490,3.1,5.4,4.3,54.3,4.1,0.3,21.5,19.1,9.8,5.8,15.6,.236,5.1,3.2,8.3,8.3,MVP-7ASNBA2DEF2
1989-90,27,UTA,NBA,PG,78,78,2915,23.9,.607,.123,.471,2.5,5.6,4.1,57.4,3.5,0.4,19.7,20.6,10.4,4.0,14.4,.238,6.7,2.2,8.9,8.0,MVP-9ASNBA2
1990-91,28,UTA,NBA,PG,82,82,3103,23.4,.604,.172,.444,1.9,6.8,4.5,57.5,3.8,0.3,20.3,20.9,9.4,4.7,14.0,.217,5.8,2.5,8.3,8.1,MVP-12DPOY-7ASNBA3DEF2
1991-92,29,UTA,NBA,PG,82,82,3002,22.8,.590,.217,.390,2.7,7.3,5.1,53.7,4.1,0.4,20.6,19.9,8.8,4.6,13.4,.215,6.0,2.7,8.7,8.1,MVP-12ASNBA2DEF2
1992-93,30,UTA,NBA,PG,82,82,2863,21.3,.584,.208,.408,2.6,6.7,4.7,49.8,3.5,0.5,20.1,19.9,7.2,3.4,10.6,.177,5.1,1.5,6.6,6.2,MVP-10ASNBA2
1993-94,31,UTA,NBA,PG,82,82,2969,22.5,.608,.172,.389,2.8,7.1,5.0,53.1,3.5,0.5,20.7,19.1,9.3,4.0,13.2,.214,5.8,2.2,8.0,7.5,MVP-11ASNBA1
1994-95,32,UTA,NBA,PG,82,82,2867,23.3,.651,.287,.387,2.6,8.0,5.5,52.6,3.5,0.6,22.4,18.9,9.9,4.0,13.9,.233,7.0,2.0,9.0,7.9,MVP-8ASNBA1DEF2
1995-96,33,UTA,NBA,PG,82,82,2915,21.9,.642,.275,.345,2.3,7.1,4.8,49.1,2.6,0.4,20.7,18.7,10.1,2.9,13.0,.214,6.0,0.7,6.8,6.4,MVP-11ASNBA2
1996-97,34,UTA,NBA,PG,82,82,2896,22.1,.656,.237,.428,2.1,7.4,4.9,46.0,3.1,0.4,21.6,18.4,10.0,3.6,13.6,.226,5.6,1.0,6.6,6.3,MVP-15ASNBA3DEF2
1997-98,35,UTA,NBA,PG,64,64,1858,21.8,.628,.178,.452,2.5,8.2,5.6,47.8,2.6,0.4,20.8,19.3,6.4,1.6,8.0,.206,5.5,0.2,5.6,3.6,MVP-13
1998-99,36,UTA,NBA,PG,50,50,1410,21.9,.571,.122,.412,2.9,9.3,6.3,48.3,3.2,0.7,18.5,20.1,4.2,2.2,6.4,.217,4.1,1.9,6.1,2.8,NBA3
1999-00,37,UTA,NBA,PG,82,82,2432,22.4,.591,.167,.354,2.3,8.3,5.4,48.1,3.1,0.5,17.6,19.3,8.2,3.1,11.2,.222,5.0,1.7,6.6,5.3,AS
2000-01,38,UTA,NBA,PG,82,82,2397,22.3,.610,.203,.427,2.9,8.8,5.9,48.7,2.9,0.7,20.8,18.8,8.2,2.6,10.8,.216,5.5,1.2,6.7,5.3,MVP-15
2001-02,39,UTA,NBA,PG,82,82,2566,21.9,.601,.101,.414,2.8,9.6,6.2,46.3,3.2,0.7,18.5,19.8,8.0,2.6,10.7,.200,4.1,1.3,5.3,4.8,
2002-03,40,UTA,NBA,PG,82,82,2275,21.0,.577,.125,.448,2.8,7.7,5.4,46.4,3.2,0.5,19.2,19.2,6.5,2.5,9.0,.190,3.9,1.1,5.0,4.0,
