Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1984-85,21,PHI,NBA,PF,82,60,2347,18.3,.599,.008,.511,12.9,20.8,16.9,9.6,1.9,2.0,17.9,20.0,4.2,3.3,7.5,.154,1.3,0.4,1.7,2.2,
1985-86,22,PHI,NBA,PF,80,80,2952,22.4,.619,.072,.555,13.4,25.4,19.4,16.0,2.8,2.4,21.3,22.4,5.4,5.5,10.8,.176,3.1,2.1,5.1,5.3,MVP-6NBA2
1986-87,23,PHI,NBA,PF,68,62,2740,25.1,.660,.111,.602,16.7,24.8,20.8,19.0,2.1,2.2,21.4,23.1,7.7,4.3,12.0,.210,5.4,1.3,6.7,6.0,MVP-6ASNBA2
1987-88,24,PHI,NBA,PF,80,80,3170,27.6,.665,.122,.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,13.4,3.3,16.7,.253,7.3,0.1,7.4,7.5,MVP-4ASNBA1
1988-89,25,PHI,NBA,PF,79,79,3088,27.0,.653,.134,.661,14.5,21.3,17.9,16.0,2.0,1.3,14.0,24.4,13.2,2.9,16.1,.250,7.3,0.2,7.5,7.4,MVP-6ASNBA1
1989-90,26,PHI,NBA,SF,79,79,3085,27.1,.661,.078,.632,13.4,20.0,16.7,15.6,2.4,1.0,13.9,24.0,13.1,4.2,17.3,.269,7.2,1.0,8.2,8.0,MVP-2ASNBA1
1990-91,27,PHI,NBA,SF,67,67,2498,28.9,.635,.133,.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,10.3,3.1,13.4,.258,8.3,1.0,9.3,7.0,MVP-4ASNBA1
1991-92,28,PHI,NBA,SF,75,75,2881,24.5,.612,.122,.580,10.9,22.0,16.5,18.1,2.4,0.9,14.3,25.1,8.6,3.7,12.3,.205,5.6,0.8,6.3,6.1,MVP-12ASNBA2
1992-93,29,PHO,NBA,PF,76,76,2859,25.9,.596,.160,.423,9.5,26.3,18.1,21.2,2.0,1.6,12.5,26.9,9.6,4.8,14.4,.242,6.3,1.4,7.8,7.1,MVP-1ASNBA1
1993-94,30,PHO,NBA,PF,65,65,2298,22.8,.563,.170,.432,9.8,25.6,17.8,20.0,2.2,1.0,14.2,26.5,5.6,3.3,8.8,.185,4.5,0.7,5.2,4.2,MVP-10ASNBA2
1994-95,31,PHO,NBA,PF,68,66,2382,25.2,.572,.192,.444,9.8,26.8,18.2,18.9,2.3,1.4,9.9,27.5,7.4,3.3,10.6,.214,5.6,0.7,6.3,5.0,MVP-6ASNBA2
1995-96,32,PHO,NBA,PF,71,71,2632,24.8,.585,.151,.488,10.9,25.0,18.1,17.4,2.2,1.6,13.4,27.5,7.0,3.5,10.5,.191,5.0,0.6,5.7,5.1,MVP-12ASNBA3
1996-97,33,HOU,NBA,PF,53,53,2009,23.0,.581,.296,.600,12.9,27.7,20.7,20.6,1.8,0.9,14.7,23.2,5.7,3.7,9.4,.224,4.5,1.2,5.7,3.9,MVP-16AS
1997-98,34,HOU,NBA,PF,68,41,2243,21.6,.564,.113,.534,12.9,28.8,20.9,16.6,1.7,0.9,13.8,21.6,6.1,2.5,8.6,.183,3.2,-0.4,2.8,2.7,
1998-99,35,HOU,NBA,PF,42,40,1526,23.1,.546,.050,.532,13.7,25.1,19.8,22.1,1.5,0.6,13.9,22.2,4.8,2.0,6.8,.215,4.3,0.3,4.5,2.5,
1999-00,36,HOU,NBA,PF,20,18,620,19.8,.534,.117,.495,13.1,24.4,18.9,17.3,1.2,0.4,14.0,22.3,1.3,0.6,1.9,.148,2.6,-0.6,2.0,0.6,
