Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1971-72,21,VIR,ABA,SF,84,,3513,23.9,.545,.009,.343,11.9,21.0,16.4,13.6,,,14.0,25.0,7.4,5.8,13.3,.181,,,,,ROY-2AS
1972-73,22,VIR,ABA,SF,71,,2993,26.9,.547,.013,.339,8.6,19.5,14.1,15.7,2.6,2.3,13.6,29.6,6.8,3.0,9.8,.157,,,,,MVP-2AS
1973-74,23,NYA,ABA,SF,84,,3398,25.7,.562,.024,.332,7.8,18.1,13.1,18.7,2.6,3.3,14.3,27.2,9.2,7.2,16.5,.233,5.6,2.9,8.5,9.0,MVP-1AS
1974-75,24,NYA,ABA,SF,84,,3402,26.2,.565,.048,.337,8.6,18.4,13.6,19.9,2.5,2.6,12.7,27.9,10.2,7.4,17.6,.248,6.2,2.3,8.5,9.0,MVP-1AS
1975-76,25,NYA,ABA,SF,84,,3244,28.7,.569,.055,.353,9.7,17.7,13.6,20.8,2.9,2.7,12.4,29.0,11.7,6.0,17.7,.262,8.1,2.5,10.6,10.3,MVP-1ASDEF1
1976-77,26,PHI,NBA,SF,82,77,2940,20.9,.553,,.375,6.9,16.2,11.8,15.9,2.4,1.9,,,6.8,4.8,11.5,.188,3.3,1.3,4.5,4.8,MVP-5ASNBA2
1977-78,27,PHI,NBA,SF,74,68,2429,21.7,.555,,.297,7.7,12.2,10.0,17.3,2.5,2.0,14.7,25.1,6.0,3.1,9.1,.179,4.0,0.7,4.8,4.1,MVP-10ASNBA1
1978-79,28,PHI,NBA,SF,78,76,2802,20.1,.538,,.344,7.7,13.1,10.5,19.6,2.1,1.9,15.8,27.7,3.6,4.4,7.9,.136,2.9,0.6,3.5,3.9,AS
1979-80,29,PHI,NBA,SF,78,78,2812,25.4,.568,.012,.331,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,7.3,5.2,12.5,.213,5.7,1.9,7.6,6.8,MVP-2ASNBA1
1980-81,30,PHI,NBA,SF,82,82,2874,25.1,.572,.012,.352,10.0,14.6,12.5,19.8,2.8,2.8,13.1,28.4,7.8,6.1,13.8,.231,5.2,2.3,7.5,6.9,MVP-1ASNBA1
1981-82,31,PHI,NBA,SF,81,81,2789,25.9,.593,.008,.377,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,8.7,4.6,13.3,.229,6.0,1.7,7.7,6.8,MVP-3ASNBA1
1982-83,32,PHI,NBA,SF,72,72,2421,23.1,.566,.006,.372,7.9,13.3,10.7,16.5,2.2,3.0,12.6,25.5,6.8,4.1,10.9,.217,4.6,1.9,6.5,5.2,MVP-5ASNBA1
1983-84,33,PHI,NBA,SF,77,77,2683,22.9,.562,.016,.365,8.3,14.1,11.2,19.3,2.5,3.0,13.0,27.2,5.6,4.5,10.1,.180,4.3,1.6,5.9,5.3,MVP-6ASNBA2
1984-85,34,PHI,NBA,SF,78,78,2535,20.0,.546,.011,.358,7.7,10.7,9.2,14.6,2.5,2.5,12.7,26.0,4.5,3.1,7.6,.144,3.0,0.5,3.5,3.5,MVP-22AS
1985-86,35,PHI,NBA,SG,74,74,2474,17.4,.537,.029,.339,7.7,9.1,8.4,15.4,2.2,1.9,14.6,23.8,3.3,2.6,5.9,.114,1.8,0.3,2.1,2.6,AS
1986-87,36,PHI,NBA,SG,60,60,1918,17.0,.527,.062,.276,7.1,8.7,7.9,15.8,2.0,2.9,14.2,24.3,1.7,1.8,3.5,.088,1.7,0.0,1.7,1.8,AS
