Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1985-86,22,UTA,NBA,PF,81,76,2475,13.7,.504,.002,.399,7.8,23.6,15.8,14.2,2.0,1.0,18.9,24.1,-2.4,4.3,1.9,.036,-2.4,0.5,-1.9,0.1,ROY-3
1986-87,23,UTA,NBA,PF,82,82,2857,18.0,.536,.005,.380,10.0,21.2,15.6,8.8,1.7,1.2,12.5,26.3,1.8,5.1,6.9,.116,0.3,0.0,0.3,1.7,MVP-12
1987-88,24,UTA,NBA,PF,82,82,3198,20.7,.568,.003,.478,9.7,22.8,16.6,10.1,1.7,0.9,14.0,29.7,4.0,6.1,10.1,.152,1.7,-0.2,1.5,2.9,MVP-8ASNBA2DEF2
1988-89,25,UTA,NBA,PF,80,80,3126,24.4,.592,.010,.589,10.0,19.6,15.1,12.8,2.3,1.3,12.7,30.4,8.6,6.6,15.2,.233,4.3,1.2,5.4,5.9,MVP-3ASNBA1
1989-90,26,UTA,NBA,PF,82,82,3122,27.2,.626,.026,.561,9.3,24.0,17.1,13.2,1.9,1.0,13.0,32.6,10.5,5.4,15.9,.245,5.9,0.5,6.4,6.6,MVP-4ASNBA1
1990-91,27,UTA,NBA,PF,82,82,3302,24.8,.596,.009,.552,9.0,24.5,17.2,14.7,1.4,1.5,10.9,30.1,9.9,5.6,15.5,.225,4.8,0.6,5.4,6.2,MVP-5ASNBA1
1991-92,28,UTA,NBA,PF,81,81,3054,25.4,.599,.011,.571,8.7,24.1,16.8,13.4,1.8,1.0,11.6,30.3,9.9,5.2,15.1,.237,5.2,0.6,5.7,5.9,MVP-4DPOY-6ASNBA1
1992-93,29,UTA,NBA,PF,82,82,3099,26.2,.612,.014,.579,8.6,24.6,16.9,16.9,2.0,1.8,11.7,28.4,10.4,5.0,15.4,.238,6.0,1.4,7.3,7.3,MVP-8ASNBA1
1993-94,30,UTA,NBA,PF,82,82,3329,22.9,.550,.021,.474,8.3,24.1,16.3,17.1,1.9,2.6,11.1,28.0,7.4,6.1,13.4,.193,4.1,1.5,5.6,6.4,MVP-7ASNBA1
1994-95,31,UTA,NBA,PF,82,82,3126,25.1,.590,.026,.449,6.6,27.2,17.4,16.4,2.1,2.2,11.3,30.3,8.1,5.8,13.8,.212,4.3,1.3,5.6,6.0,MVP-3ASNBA1
1995-96,32,UTA,NBA,PF,82,82,3113,26.0,.575,.026,.466,7.1,24.2,15.8,20.6,2.4,1.5,9.8,29.8,9.9,5.3,15.1,.233,5.6,1.4,7.0,7.1,MVP-7ASNBA1
1996-97,33,UTA,NBA,PF,82,82,2998,28.9,.600,.008,.439,8.5,24.2,16.8,24.5,2.0,1.3,11.1,32.7,11.6,5.1,16.7,.268,7.1,1.2,8.3,7.8,MVP-1ASNBA1DEF1
1997-98,34,UTA,NBA,PF,81,81,3030,27.9,.597,.004,.560,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,12.1,4.3,16.4,.259,6.6,0.7,7.3,7.1,MVP-2ASNBA1DEF1
1998-99,35,UTA,NBA,PF,49,49,1832,25.6,.577,.001,.602,7.7,22.1,15.4,23.0,1.9,1.2,13.8,30.5,6.2,3.4,9.6,.252,5.3,1.4,6.7,4.0,MVP-1NBA1DEF1
1999-00,36,UTA,NBA,PF,82,82,2947,27.1,.582,.005,.501,7.1,24.7,16.1,20.9,1.4,1.9,11.4,31.9,10.7,4.5,15.3,.249,6.4,1.1,7.5,7.1,MVP-4ASNBA2
2000-01,37,UTA,NBA,PF,81,81,2895,24.7,.572,.004,.503,5.0,23.3,14.3,24.1,1.7,1.7,12.9,30.0,9.1,4.0,13.1,.217,5.5,1.1,6.6,6.3,MVP-7ASNBA3
2001-02,38,UTA,NBA,PF,80,80,3040,21.1,.532,.018,.457,5.6,21.7,13.6,21.8,2.7,1.5,13.5,28.8,5.5,4.3,9.8,.155,2.9,0.8,3.7,4.4,AS
2002-03,39,UTA,NBA,PF,81,81,2936,21.7,.534,.011,.482,4.8,20.5,13.0,24.4,2.5,0.8,11.8,27.8,6.9,4.3,11.1,.182,3.2,1.0,4.2,4.6,
2003-04,40,LAL,NBA,PF,42,42,1373,17.8,.555,.003,.563,5.0,25.6,15.1,19.1,1.9,1.1,17.1,19.7,2.1,2.2,4.3,.151,1.1,1.7,2.8,1.7,
