Season,Age,Team,Lg,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards
1949-50,21,SYR,NBA,,64,,,.480,.538,8.8,4.0,12.8,,NBA2
1950-51,22,SYR,NBA,,66,,,.468,.654,6.5,3.8,10.3,,ASNBA2
1951-52,23,SYR,NBA,PF,63,2004,23.9,.468,.573,4.4,4.0,8.5,.203,ASNBA1
1952-53,24,SYR,NBA,PF,71,2668,25.4,.495,.618,8.0,5.1,13.1,.236,ASNBA1
1953-54,25,SYR,NBA,C,72,2655,24.5,.498,.606,8.4,6.3,14.8,.267,ASNBA1
1954-55,26,SYR,NBA,PF,72,2526,23.5,.490,.532,6.4,5.7,12.0,.229,ASNBA1
1955-56,27,SYR,NBA,PF,72,2517,23.8,.497,.526,6.9,4.9,11.8,.225,MVP-5ASNBA2
1956-57,28,SYR,NBA,PF,72,2851,24.6,.502,.528,8.8,3.7,12.5,.211,MVP-4ASNBA1
1957-58,29,SYR,NBA,PF,72,2918,24.2,.508,.477,9.7,4.0,13.7,.226,MVP-2ASNBA1
1958-59,30,SYR,NBA,PF,72,2645,21.0,.488,.467,5.8,3.6,9.4,.171,MVP-6ASNBA2
1959-60,31,SYR,NBA,PF,75,2741,20.6,.496,.415,6.2,3.3,9.5,.167,MVP-8ASNBA2
1960-61,32,SYR,NBA,PF,79,3007,19.2,.482,.491,5.0,3.5,8.5,.136,MVP-8ASNBA2
1961-62,33,SYR,NBA,PF,56,1480,15.9,.461,.425,0.9,2.1,3.1,.099,AS
1962-63,34,SYR,NBA,PF,66,1438,14.2,.471,.358,0.7,1.7,2.4,.081,
1963-64,35,PHI,NBA,PF,24,350,11.5,.399,.399,-0.4,0.3,-0.1,-0.010,
